Away Team,Away Score,Home Team,Home Score
Miami Marlins,7,Tampa Bay Rays,3
Houston Astros,5,Los Angeles Angels,9
Washington Nationals,3,Atlanta Braves,10
New York Yankees,1,Baltimore Orioles,5
Toronto Blue Jays,10,Boston Red Sox,8
St. Louis Cardinals,7,Chicago Cubs,3
Milwaukee Brewers,1,Cleveland Indians,4
Chicago White Sox,8,Kansas City Royals,2
Colorado Rockies,7,Los Angeles Dodgers,6
Detroit Tigers,10,Minnesota Twins,8
Philadelphia Phillies,1,New York Mets,14
San Diego Padres,5,Oakland Athletics,3
Cincinnati Reds,2,Pittsburgh Pirates,3
Texas Rangers,3,Seattle Mariners,4
Arizona D'Backs,2,San Francisco Giants,4
Miami Marlins,4,Tampa Bay Rays,5
Miami Marlins,5,Atlanta Braves,4
St. Louis Cardinals,1,Chicago Cubs,5
Kansas City Royals,2,Cleveland Indians,5
Detroit Tigers,2,Minnesota Twins,6
Philadelphia Phillies,9,New York Mets,8
Houston Astros,0,Oakland Athletics,6
Colorado Rockies,0,San Diego Padres,1
Texas Rangers,4,Seattle Mariners,8
Arizona D'Backs,2,San Francisco Giants,4
New York Yankees,7,Toronto Blue Jays,12
Tampa Bay Rays,1,Washington Nationals,6
Los Angeles Dodgers,10,Arizona D'Backs,9
Miami Marlins,8,Atlanta Braves,0
Cincinnati Reds,0,Chicago Cubs,3
Kansas City Royals,8,Cleveland Indians,6
Milwaukee Brewers,3,Detroit Tigers,8
Baltimore Orioles,11,New York Mets,2
Houston Astros,2,Oakland Athletics,4
Houston Astros,5,Oakland Athletics,4
Boston Red Sox,5,Philadelphia Phillies,6
